EN,EM,Description,Composition strategy,Attribute,generated_sentence
domestic worry,🏠🥺,"[':house:', ':pleading_face:']",Direct,DOMESTICITY,"""Feeling anxious about my home situation."""
domestic worry,🏠😖,"[':house:', ':confounded_face:']",Direct,DOMESTICITY,"""Feeling anxious and overwhelmed about issues at home."""
domestic worry,🏡🥺😟,"[':house_with_garden:', ':pleading_face:', ':worried_face:']",Direct,DOMESTICITY,"""Feeling worried about my home and the challenges it brings."""
domestic worry,🏠😟,"[':house:', ':worried_face:']",Direct,DOMESTICITY,"""Feeling anxious about issues at home."""
domestic worry,👧😟😰,"[':girl:', ':worried_face:', ':anxious_face_with_sweat:']",Metaphorical,DOMESTICITY,A young girl feels anxious and worried about something happening at home.
domestic worry,😟🏚️💸🥣👶,"[':worried_face:', ':derelict_house:', ':money_with_wings:', ':bowl_with_spoon:', ':baby:']",Metaphorical,DOMESTICITY,The worried parent struggles to provide food and a safe home for their baby while facing financial difficulties.
domestic worry,🏠🙍‍♀️,"[':house:', ':woman_frowning:']",Direct,DOMESTICITY,"""She feels anxious about the problems at home."""
domestic happiness,🏡🫂😊🏡,"[':house_with_garden:', ':people_hugging:', ':smiling_face_with_smiling_eyes:', ':house_with_garden:']",Direct,DOMESTICITY,"""Being together at home fills our hearts with joy."""
domestic happiness,🏠😄,"[':house:', ':grinning_face_with_smiling_eyes:']",Direct,DOMESTICITY,"""Home is where the heart is, and it brings me so much joy."""
domestic happiness,🏠🥰,"[':house:', ':smiling_face_with_hearts:']",Direct,DOMESTICITY,"Home is where the heart is, filled with love and happiness."
domestic happiness,🏡🥰👪👩‍👩‍👦👨‍👨‍👦👨‍👧👩‍👦,"[':house_with_garden:', ':smiling_face_with_hearts:', ':family:', ':family_woman_woman_boy:', ':family_man_man_boy:', ':family_man_girl:', ':family_woman_boy:']",Direct,DOMESTICITY,"""Home is where love and family thrive."""
domestic happiness,🏠😃,"[':house:', ':grinning_face_with_big_eyes:']",Direct,DOMESTICITY,"""Home is where happiness begins."""
domestic happiness,👧😁😂,"[':girl:', ':beaming_face_with_smiling_eyes:', ':face_with_tears_of_joy:']",Semantic list,DOMESTICITY,A girl is joyfully laughing and having a great time at home.
domestic happiness,🏡🥰🍼👶💰,"[':house_with_garden:', ':smiling_face_with_hearts:', ':baby_bottle:', ':baby:', ':money_bag:']",Metaphorical,DOMESTICITY,Creating a loving home filled with joy as we welcome our baby and cherish our family’s financial stability.
domestic happiness,😀😃😄,"[':grinning_face:', ':grinning_face_with_big_eyes:', ':grinning_face_with_smiling_eyes:']",Semantic list,DOMESTICITY,The family is enjoying a joyful and cheerful time together at home.
domestic chore,🧹🍳🪠🛒🏠,"[':broom:', ':cooking:', ':plunger:', ':shopping_cart:', ':house:']",Metaphorical,DOMESTICITY,"""Time to tackle some domestic chores: sweeping the floor, cooking, unclogging the sink, and grocery shopping for the house!"""
domestic chore,🏠⌨️,"[':house:', ':keyboard:']",Metaphorical,DOMESTICITY,I need to do some work from home on my computer.
domestic chore,🏠🧹,"[':house:', ':broom:']",Direct,DOMESTICITY,It's time to clean the house!
domestic chore,🧹🧼🧴😷,"[':broom:', ':soap:', ':lotion_bottle:', ':face_with_medical_mask:']",Semantic list,DOMESTICITY,"""Time to clean the house with a broom, soap, and disinfectant while wearing a mask."""
domestic chore,🏠🧹,"[':house:', ':broom:']",Direct,DOMESTICITY,It's time to clean the house.
domestic chore,😤🧹🧽🗑️,"[':face_with_steam_from_nose:', ':broom:', ':sponge:', ':wastebasket:']",Metaphorical,DOMESTICITY,"""I'm feeling frustrated as I tackle the cleaning chores today."""
domestic chore,🏠😭🧹🗑️🧽🍽️🍽️,"[':house:', ':loudly_crying_face:', ':broom:', ':wastebasket:', ':sponge:', ':fork_and_knife_with_plate:', ':fork_and_knife_with_plate:']",Metaphorical,DOMESTICITY,"""Cleaning the house brings me to tears as I tackle the dishes and tidy up."""
domestic chore,🏠🧹,"[':house:', ':broom:']",Direct,DOMESTICITY,I need to clean the house.
domestic animal,🏠🐄🐐🦮🐔🏠,"[':house:', ':cow:', ':goat:', ':guide_dog:', ':chicken:', ':house:']",Semantic list,TAMENESS,"The farm is home to various domestic animals like cows, goats, dogs, and chickens."
domestic animal,🏠🐕,"[':house:', ':dog:']",Direct,TAMENESS,The dog is happily playing at home.
domestic animal,🏠🐶🐱🐰🐹🐭,"[':house:', ':dog_face:', ':cat_face:', ':rabbit_face:', ':hamster:', ':mouse_face:']",Semantic list,TAMENESS,"The home is filled with domestic animals like a dog, cat, rabbit, hamster, and mouse."
domestic animal,😺🐶,"[':grinning_cat:', ':dog_face:']",Semantic list,TAMENESS,"Text sentence: ""Cats and dogs are popular domestic animals that many people love as pets."""
domestic animal,🏠🐶🐱,"[':house:', ':dog_face:', ':cat_face:']",Semantic list,TAMENESS,"At home, we have both a dog and a cat as our beloved domestic animals."
domestic animal,🐶🐱🐰,"[':dog_face:', ':cat_face:', ':rabbit_face:']",Semantic list,TAMENESS,"The domestic animals include a dog, a cat, and a rabbit."
domestic animal,🏠🐶🐱😍,"[':house:', ':dog_face:', ':cat_face:', ':smiling_face_with_heart-eyes:']",Semantic list,TAMENESS,"I love my pets at home, especially my dog and cat!"
domestic animal,🏠🦮,"[':house:', ':guide_dog:']",Metaphorical,TAMENESS,Having a dog at home is a wonderful experience.
ineffectual ruler,🤴👑📉👎,"[':prince:', ':crown:', ':chart_decreasing:', ':thumbs_down:']",Metaphorical,POTENCY,The king's reign is marked by declining power and widespread disapproval.
ineffectual ruler,👎📏,"[':thumbs_down:', ':straight_ruler:']",Direct,POTENCY,The ruler is ineffective and fails to measure up to expectations.
ineffectual ruler,👎🤴👸,"[':thumbs_down:', ':prince:', ':princess:']",Direct,POTENCY,"The king and queen are ineffective leaders, as their decisions are met with disapproval."
ineffectual ruler,🧑‍💻👩‍💻👨‍💻👎👎,"[':technologist:', ':woman_technologist:', ':man_technologist:', ':thumbs_down:', ':thumbs_down:']",Direct,POTENCY,"The ineffective rulers, represented by the three computer users giving a thumbs down, failed to lead effectively."
ineffectual ruler,❌🤴,"[':cross_mark:', ':prince:']",Direct,POTENCY,The ineffective king was unable to lead his kingdom successfully.
ineffectual ruler,😡👮,"[':pouting_face:', ':police_officer:']",Metaphorical,POTENCY,An angry police officer symbolizes the frustration felt towards an ineffectual ruler.
ineffectual ruler,🏰👑👎👎👎👬👭😡,"[':castle:', ':crown:', ':thumbs_down:', ':thumbs_down:', ':thumbs_down:', ':men_holding_hands:', ':women_holding_hands:', ':pouting_face:']",Metaphorical,POTENCY,"The ineffectual ruler sits in their castle, wearing a crown, but faces disapproval from the people, leading to frustration and anger among the community."
ineffectual ruler,👑🙅,"[':crown:', ':person_gesturing_NO:']",Direct,POTENCY,"The crown symbolizes authority, but the gesture of refusal suggests an ineffectual ruler who lacks true power."
ineffectual therapy,👂🧏‍♀️👎😒,"[':ear:', ':deaf_woman:', ':thumbs_down:', ':unamused_face:']",Metaphorical,UTILITY,"The therapy session felt unproductive, as I didn't feel heard and left feeling disappointed."
ineffectual therapy,👎💆,"[':thumbs_down:', ':person_getting_massage:']",Direct,UTILITY,The therapy sessions were unhelpful and left me feeling frustrated.
ineffectual therapy,👎🏥,"[':thumbs_down:', ':hospital:']",Direct,UTILITY,"The therapy was ineffective, leading to disappointment and frustration."
ineffectual therapy,🧑👂❌❌,"[':person:', ':ear:', ':cross_mark:', ':cross_mark:']",Metaphorical,UTILITY,"The therapy sessions were unhelpful, as I felt unheard and dismissed."
ineffectual therapy,❌💆‍♂️👨‍⚕️,"[':cross_mark:', ':man_getting_massage:', ':man_health_worker:']",Direct,UTILITY,The therapy was ineffective for the man.
ineffectual therapy,🗒️❌💀,"[':spiral_notepad:', ':cross_mark:', ':skull:']",Direct,UTILITY,The therapy sessions felt pointless and left me feeling dead inside.
ineffectual therapy,👨‍⚕️🗣️🧠👎☹️,"[':man_health_worker:', ':speaking_head:', ':brain:', ':thumbs_down:', ':frowning_face:']",Metaphorical,UTILITY,"The therapist's approach didn't help at all, leaving the patient feeling frustrated and disappointed."
ineffectual therapy,💊🙅‍♀️,"[':pill:', ':woman_gesturing_NO:']",Direct,UTILITY,"The medication is not helping, and I am rejecting its use."
intelligent question,🧠🤔,"[':brain:', ':thinking_face:']",Metaphorical,INTELLIGENCE,"""Using critical thinking, I ponder an intelligent question."""
intelligent question,🧠❓💬,"[':brain:', ':red_question_mark:', ':speech_balloon:']",Direct,INTELLIGENCE,"""Can you ask an intelligent question that challenges our understanding?"""
intelligent question,🙋🧠💭🧑‍🎓,"[':person_raising_hand:', ':brain:', ':thought_balloon:', ':student:']",Metaphorical,INTELLIGENCE,A student raises their hand to ask an insightful question.
intelligent question,👨‍🎓❓️,"[':man_student:', ':red_question_mark:', '']",Direct,INTELLIGENCE,The graduate is pondering an intelligent question.
intelligent question,💡🗣❓,"[':light_bulb:', ':speaking_head:', ':red_question_mark:']",Direct,INTELLIGENCE,"""Here’s a thought-provoking question to spark a discussion."""
intelligent question,🤔🤓❓,"[':thinking_face:', ':nerd_face:', ':red_question_mark:']",Direct,INTELLIGENCE,"""Is that a thoughtful question that sparks curiosity and learning?"""
intelligent question,🧑‍🎓🧠❓,"[':student:', ':brain:', ':red_question_mark:']",Direct,INTELLIGENCE,"""A student poses an intelligent question."""
intelligent question,🧐❓,"[':face_with_monocle:', ':red_question_mark:']",Direct,INTELLIGENCE,"""That's an intriguing question!"""
intelligent life,👍👨‍🏫,"[':thumbs_up:', ':man_teacher:']",Metaphorical,INTELLIGENCE,"""An intelligent life appreciates the guidance of a knowledgeable teacher."""
intelligent life,🧍🧍‍♀️🧍‍♂️,"[':person_standing:', ':woman_standing:', ':man_standing:']",Semantic list,INTELLIGENCE,"""Humans, as intelligent beings, stand together in pursuit of knowledge and understanding."""
intelligent life,🧑‍🎓🤓,"[':student:', ':nerd_face:']",Metaphorical,INTELLIGENCE,"""An intelligent life is characterized by the pursuit of knowledge and education."""
intelligent life,🎓👽,"[':graduation_cap:', ':alien:']",Metaphorical,INTELLIGENCE,The graduation cap and glasses symbolize the pursuit of knowledge and the existence of intelligent life.
intelligent life,🤖🐾,"[':robot:', ':paw_prints:']",Metaphorical,INTELLIGENCE,"""Robots with paw prints symbolize the emergence of intelligent life beyond Earth."""
intelligent life,🤓🐶🦊🐻🦑🌳🐳🤓,"[':nerd_face:', ':dog_face:', ':fox:', ':bear:', ':squid:', ':deciduous_tree:', ':spouting_whale:', ':nerd_face:']",Semantic list,INTELLIGENCE,"""Intelligent life can be found in various forms, from clever dogs and cunning foxes to wise bears and curious squids, all thriving in the rich environment of trees and oceans."""
intelligent life,👨‍🔬🔬🧫🦠🧠🧠,"[':man_scientist:', ':microscope:', ':petri_dish:', ':microbe:', ':brain:', ':brain:']",Semantic list,INTELLIGENCE,A scientist is studying microorganisms and brain cells to understand intelligent life.
intelligent life,🤔🤷‍♀️,"[':thinking_face:', ':woman_shrugging:']",Metaphorical,INTELLIGENCE,"""Intelligent life often questions everything, wondering about the mysteries of the universe."""
intelligent solution,🧠💡,"[':brain:', ':light_bulb:']",Direct,REASONABLENESS,"""An intelligent solution comes from a bright idea."""
intelligent solution,🧠❗❗,"[':brain:', ':red_exclamation_mark:', ':red_exclamation_mark:']",Metaphorical,REASONABLENESS,"""An intelligent solution requires careful thought and insight!"""
intelligent solution,🤓🔍,"[':nerd_face:', ':magnifying_glass_tilted_left:']",Metaphorical,REASONABLENESS,"""With keen observation and clever thinking, we can find intelligent solutions to complex problems."""
intelligent solution,🎓🧪,"[':graduation_cap:', ':test_tube:']",Metaphorical,REASONABLENESS,"""Graduating with a degree in science leads to intelligent solutions in research and innovation."""
intelligent solution,💡✅,"[':light_bulb:', ':check_mark_button:']",Metaphorical,REASONABLENESS,"""Here is an intelligent solution that sparks new ideas."""
intelligent solution,🤓💡,"[':nerd_face:', ':light_bulb:']",Direct,REASONABLENESS,"""An intelligent solution requires clever thinking and bright ideas."""
intelligent solution,🤔💭💡🧠,"[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':brain:']",Direct,REASONABLENESS,"""After deep contemplation, a brilliant idea emerged from my mind, leading to an intelligent solution."""
intelligent solution,🧠💯,"[':brain:', ':hundred_points:']",Metaphorical,REASONABLENESS,"""An intelligent solution that showcases 100% brainpower."""
constant lover,🙍‍♀️❤️🙍‍♂️♾️,"[':woman_frowning:', ':red_heart:', ':man_frowning:', ':infinity:']",Metaphorical,CONSTANCY,A woman loves her man endlessly.
constant lover,🔂💑👩‍❤️‍👨👩‍❤️‍👩,"[':repeat_single_button:', ':couple_with_heart:', ':couple_with_heart_woman_man:', ':couple_with_heart_woman_woman:']",Direct,CONSTANCY,"""Always cherishing love in every form."""
constant lover,💍👰‍♂️👰‍♀️🤵‍♂️💑,"[':ring:', ':man_with_veil:', ':woman_with_veil:', ':man_in_tuxedo:', ':couple_with_heart:']",Metaphorical,CONSTANCY,"""Two devoted lovers, united in their commitment, celebrate their everlasting bond."""
constant lover,❤️🧓👵,"[':red_heart:', ':older_person:', ':old_woman:']",Metaphorical,CONSTANCY,"""Forever devoted to each other, the elderly couple shares an unbreakable bond of love."""
constant lover,🕰💤🫂,"[':mantelpiece_clock:', ':zzz:', ':people_hugging:']",Metaphorical,CONSTANCY,"""Even while time passes and we dream, my love for you remains constant and unwavering."""
constant lover,💘👩‍❤️‍👨🔃,"[':heart_with_arrow:', ':couple_with_heart_woman_man:', ':clockwise_vertical_arrows:']",Direct,CONSTANCY,"""Two lovers continuously cherish and support each other in their relationship."""
constant lover,👬👨‍❤️‍💋‍👨⏳⌛💞👨‍🦳👨‍🦳,"[':men_holding_hands:', ':kiss_man_man:', ':hourglass_not_done:', ':hourglass_done:', ':revolving_hearts:', ':man_white_hair:', ':man_white_hair:']",Metaphorical,CONSTANCY,"Two men in love cherish their time together, growing old as constant lovers."
constant lover,💑😁,"[':couple_with_heart:', ':beaming_face_with_smiling_eyes:']",Metaphorical,CONSTANCY,"""Together forever, always smiling as constant lovers."""
constant pain,♾️💔,"[':infinity:', ':broken_heart:']",Direct,CONTINUITY,The feeling of constant pain seems never-ending and unbreakable.
constant pain,🔂😖,"[':repeat_single_button:', ':confounded_face:']",Direct,CONTINUITY,The constant pain feels like an endless loop of suffering.
constant pain,🤕🧑‍⚕️,"[':face_with_head-bandage:', ':health_worker:']",Metaphorical,CONTINUITY,"""Feeling constant pain and needing to see a doctor for help."""
constant pain,😟😟😟😟😟😟,"[':worried_face:', ':worried_face:', ':worried_face:', ':worried_face:', ':worried_face:', ':worried_face:']",Reduplication,CONTINUITY,I am experiencing constant pain and it feels overwhelming.
constant pain,⏳😣🤕,"[':hourglass_not_done:', ':persevering_face:', ':face_with_head-bandage:']",Metaphorical,CONTINUITY,"The hourglass symbolizes the relentless passage of time, intensifying the feeling of constant pain and discomfort."
constant pain,🔃🤕,"[':clockwise_vertical_arrows:', ':face_with_head-bandage:']",Direct,CONTINUITY,"""Feeling stuck in a cycle of constant pain."""
constant pain,🦴🔨🧑‍🦽⏳😭,"[':bone:', ':hammer:', ':person_in_manual_wheelchair:', ':hourglass_not_done:', ':loudly_crying_face:']",Metaphorical,CONTINUITY,"""Enduring constant pain feels like being struck by a hammer while grappling with the weight of time."""
constant pain,😥💉🤕,"[':sad_but_relieved_face:', ':syringe:', ':face_with_head-bandage:']",Metaphorical,CONTINUITY,"The constant pain feels overwhelming, like a persistent ache that never goes away, especially after getting a shot."
internal organ,🧠👨‍⚕️🩺,"[':brain:', ':man_health_worker:', ':stethoscope:']",Metaphorical,POSITION,The doctor examines the brain as an important internal organ.
internal organ,🧠👀🫀,"[':brain:', ':eyes:', ':anatomical_heart:']",Semantic list,POSITION,"""Understanding the brain, eyes, and heart as vital internal organs."""
internal organ,🫀🧠🫁,"[':anatomical_heart:', ':brain:', ':lungs:']",Semantic list,POSITION,"The heart, brain, and lungs are essential internal organs that work together to sustain life."
internal organ,🫀🫁,"[':anatomical_heart:', ':lungs:']",Semantic list,POSITION,The heart and lungs are vital internal organs that play crucial roles in the body's circulatory and respiratory systems.
internal organ,🫁🫀,"[':lungs:', ':anatomical_heart:']",Semantic list,POSITION,The lungs and heart are essential internal organs that play crucial roles in our body's respiratory and circulatory systems.
internal organ,🧠🫀🫁,"[':brain:', ':anatomical_heart:', ':lungs:']",Semantic list,POSITION,"The brain, heart, and lungs are essential internal organs that play vital roles in the body's functions."
internal organ,👨‍💼👈🧠🫀🫁,"[':man_office_worker:', ':backhand_index_pointing_left:', ':brain:', ':anatomical_heart:', ':lungs:']",Metaphorical,POSITION,"The businessman points to the brain, heart, and lungs as important internal organs."
internal organ,💉🧬,"[':syringe:', ':dna:']",Direct,POSITION,The injection targets the genetic material within the internal organ.
internal sense,💭💭,"[':thought_balloon:', ':thought_balloon:']",Reduplication,INWARDNESS,The internal sense often leads to deep thoughts and reflections.
internal sense,🧬☮️,"[':dna:', ':peace_symbol:']",Metaphorical,INWARDNESS,The interconnectedness of our genetic makeup fosters a deep internal sense of peace and harmony.
internal sense,🤔🤷,"[':thinking_face:', ':person_shrugging:']",Metaphorical,INWARDNESS,"""Sometimes I ponder and feel uncertain about my internal thoughts."""
internal sense,🧘‍♀️,[':woman_in_lotus_position:'],Single,INWARDNESS,"""She practices meditation to enhance her internal sense of peace and self-awareness."""
internal sense,🧐🔮,"[':face_with_monocle:', ':crystal_ball:']",Metaphorical,INWARDNESS,"""With a keen eye and a touch of intuition, I delve into my internal sense to uncover hidden truths."""
internal sense,👉👀👈,"[':backhand_index_pointing_right:', ':eyes:', ':backhand_index_pointing_left:']",Metaphorical,INWARDNESS,"""Pay attention to your inner thoughts and feelings."""
internal sense,👨👈💭,"[':man:', ':backhand_index_pointing_left:', ':thought_balloon:']",Metaphorical,INWARDNESS,The man is reflecting on his thoughts.
internal sense,🤓🧠,"[':nerd_face:', ':brain:']",Metaphorical,INWARDNESS,"""Embracing my inner nerd, I dive deep into understanding my thoughts and emotions."""
internal mechanism,📲🕹️👩‍💻,"[':mobile_phone_with_arrow:', ':joystick:', ':woman_technologist:']",Metaphorical,POSITION,"""Using a mobile device as a controller, the programmer explores the internal mechanisms of software development."""
internal mechanism,🧬⚙️,"[':dna:', ':gear:']",Metaphorical,POSITION,"The internal mechanism of life is like a complex machine, intricately designed and constantly working to sustain biological functions."
internal mechanism,☸️,[':wheel_of_dharma:'],Single,POSITION,"The wheel of life represents the internal mechanism of our thoughts and actions, guiding our journey through existence."
internal mechanism,⚙️⚙️⚙️,"[':gear:', ':gear:', ':gear:']",Reduplication,POSITION,The internal mechanisms of the machine work together seamlessly to ensure optimal performance.
internal mechanism,🔃⚙️,"[':clockwise_vertical_arrows:', ':gear:']",Direct,POSITION,"""The internal mechanism continuously rotates and adjusts to ensure smooth operation."""
internal mechanism,👉⚙️⚙️👈,"[':backhand_index_pointing_right:', ':gear:', ':gear:', ':backhand_index_pointing_left:']",Metaphorical,POSITION,"""Here is the internal mechanism at work."""
internal mechanism,😷🦠💊⚔️,"[':face_with_medical_mask:', ':microbe:', ':pill:', ':crossed_swords:']",Metaphorical,POSITION,The body's internal mechanism fights off germs with medicine.
internal mechanism,🦿👩‍🔧,"[':mechanical_leg:', ':woman_mechanic:']",Metaphorical,POSITION,The mechanic is skillfully repairing the internal mechanism of the prosthetic leg.
dry paint,❌💦🎨,"[':cross_mark:', ':sweat_droplets:', ':artist_palette:']",Direct,WETNESS,The wet paint is now dry and ready for use.
dry paint,🖌️🙅💦,"[':paintbrush:', ':person_gesturing_NO:', ':sweat_droplets:']",Direct,WETNESS,"""Don't apply water to the wet paint!"""
dry paint,🏜️🎨,"[':desert:', ':artist_palette:']",Direct,WETNESS,"In the arid desert, the vibrant colors of dry paint create a striking contrast against the sandy landscape."
dry paint,🚱🎨,"[':non-potable_water:', ':artist_palette:']",Direct,WETNESS,The paint is dry and ready for use.
dry paint,🌪️🎨,"[':tornado:', ':artist_palette:']",Metaphorical,WETNESS,A whirlwind of colors swirls together like dry paint on a canvas.
dry paint,🌬️💅,"[':wind_face:', ':nail_polish:']",Metaphorical,WETNESS,"""The wind is drying the freshly painted nails."""
dry paint,☀️🎨,"[':sun:', ':artist_palette:']",Metaphorical,WETNESS,The sun shines brightly on the canvas as the artist works with dry paint.
dry paint,♨️🖌️,"[':hot_springs:', ':paintbrush:']",Direct,WETNESS,The hot steam from the dry paint rises as the artist carefully applies the finishing touches with a brush.
dry land,🏜️,[':desert:'],Single,WETNESS,The vast expanse of dry land stretches endlessly under the scorching sun.
dry land,🏝️🏙️☀️,"[':desert_island:', ':cityscape:', ':sun:']",Metaphorical,WETNESS,"""On the dry land of the sunny island city, the vibrant atmosphere is inviting."""
dry land,🏜️🏝️,"[':desert:', ':desert_island:']",Semantic list,WETNESS,The desert and the island represent two distinct types of dry land.
dry land,🥵🏜 🚫 🆒,"[':hot_face:', ':desert:', ':prohibited:', ':COOL_button:']",Metaphorical,WETNESS,It's too hot to be in the dry desert!
dry land,🌪️ 🏝️,"[':tornado:', ':desert_island:']",Metaphorical,WETNESS,"A tornado swept through the dry island, leaving devastation in its wake."
dry land,⛱️🏝️,"[':umbrella_on_ground:', ':desert_island:']",Metaphorical,WETNESS,"""Relaxing on a sunny beach on dry land."""
dry land,☀️🏜,"[':sun:', ':desert:']",Metaphorical,WETNESS,The sun shines brightly over the arid desert landscape.
dry land,♨️🌇,"[':hot_springs:', ':sunset:']",Metaphorical,WETNESS,The hot springs are located in the dry land near the city skyline.
dry critique,🏜️🤬,"[':desert:', ':face_with_symbols_on_mouth:']",Direct,EMOTIONALITY,The harsh criticism felt as dry and unforgiving as a desert.
dry critique,🙎‍♂️🗣️💬,"[':man_pouting:', ':speaking_head:', ':speech_balloon:']",Metaphorical,EMOTIONALITY,A man is giving a dry critique of the situation.
dry critique,🏜️🗣️,"[':desert:', ':speaking_head:']",Direct,EMOTIONALITY,"In a dry critique, one might express their thoughts with a stark and blunt approach, much like a voice echoing across a barren desert."
dry critique,😩🙄✍🏻📝,"[':weary_face:', ':face_with_rolling_eyes:', ':writing_hand_light_skin_tone:', ':memo:']",Metaphorical,EMOTIONALITY,"""Here I am, rolling my eyes at yet another dry critique that I have to write down."""
dry critique,😤😞,"[':face_with_steam_from_nose:', ':disappointed_face:']",Metaphorical,EMOTIONALITY,The harsh criticism left me feeling frustrated and disappointed.
dry critique,👎🗣️,"[':thumbs_down:', ':speaking_head:']",Direct,EMOTIONALITY,The feedback was harsh and unyielding.
dry critique,☀️🤬,"[':sun:', ':face_with_symbols_on_mouth:']",Direct,EMOTIONALITY,"""Despite the sunny weather, I can't help but express my frustration with the lack of attention to detail in this project."""
dry critique,♨️🧑‍🏫,"[':hot_springs:', ':teacher:']",Direct,EMOTIONALITY,"The teacher offered a dry critique of the student's presentation, highlighting its lack of originality and depth."
dry greeting,🏜️🥳,"[':desert:', ':partying_face:']",Direct,EMOTIONALITY,"""Let's celebrate in the dry desert!"""
dry greeting,👋😒😐😑,"[':waving_hand:', ':unamused_face:', ':neutral_face:', ':expressionless_face:']",Metaphorical,EMOTIONALITY,"""Hey there, I guess we're just keeping it casual."""
dry greeting,🏜️🙋‍♀️,"[':desert:', ':woman_raising_hand:']",Direct,EMOTIONALITY,"""In the dry desert, a woman waves hello."""
dry greeting,😶😐😑👋,"[':face_without_mouth:', ':neutral_face:', ':expressionless_face:', ':waving_hand:']",Metaphorical,EMOTIONALITY,The greeting was so dull that it felt like a mere acknowledgment without any enthusiasm.
dry greeting,🙋😑😑😑,"[':person_raising_hand:', ':expressionless_face:', ':expressionless_face:', ':expressionless_face:']",Metaphorical,EMOTIONALITY,"""Hi there, I guess."""
dry greeting,👋🙄,"[':waving_hand:', ':face_with_rolling_eyes:']",Metaphorical,EMOTIONALITY,"""With a wave and a roll of the eyes, I gave a dry greeting."""
dry greeting,☀️🙋🏻‍♀️,"[':sun:', ':woman_raising_hand_light_skin_tone:']",Direct,EMOTIONALITY,"""Hello, it's a sunny day!"""
dry greeting,♨️👋,"[':hot_springs:', ':waving_hand:']",Direct,EMOTIONALITY,"""Let's keep things cool and casual with a simple wave!"""
dry climate,🏜️,[':desert:'],Single,WETNESS,The desert landscape is characterized by its dry climate and arid conditions.
dry climate,☀️☀️☀️🥵,"[':sun:', ':sun:', ':sun:', ':hot_face:']",Metaphorical,WETNESS,The intense sun is making the dry climate feel extremely hot.
dry climate,🏜️☀️,"[':desert:', ':sun:']",Metaphorical,WETNESS,The desert is characterized by its dry climate and intense sunlight.
dry climate,🚱🏜🌵,"[':non-potable_water:', ':desert:', ':cactus:']",Metaphorical,WETNESS,"In a dry climate, water is scarce, and cacti thrive in the arid desert landscape."
dry climate,🌵🥵🥵🥵🥵,"[':cactus:', ':hot_face:', ':hot_face:', ':hot_face:', ':hot_face:']",Metaphorical,WETNESS,"In a dry climate, the heat can be intense and overwhelming."
dry climate,☀️🌬️,"[':sun:', ':wind_face:']",Metaphorical,WETNESS,The dry climate is characterized by plenty of sunshine and gentle breezes.
dry climate,🌵🌡,"[':cactus:', ':thermometer:']",Metaphorical,WETNESS,"The dry climate is characterized by arid conditions and high temperatures, often symbolized by cacti and heat."
dry climate,♨️🌎🌡️,"[':hot_springs:', ':globe_showing_Americas:', ':thermometer:']",Metaphorical,WETNESS,The hot springs on Earth indicate a dry climate where temperatures can soar.
effective step,👍🪜,"[':thumbs_up:', ':ladder:']",Metaphorical,EFFECTIVENESS,"""Taking effective steps leads to success."""
effective step,👍👣➡️,"[':thumbs_up:', ':footprints:', ':right_arrow:']",Direct,EFFECTIVENESS,Taking a positive step forward.
effective step,👏🪜,"[':clapping_hands:', ':ladder:']",Metaphorical,EFFECTIVENESS,"""Taking effective steps can lead to great achievements."""
effective step,👍👣💡💬,"[':thumbs_up:', ':footprints:', ':light_bulb:', ':speech_balloon:']",Metaphorical,EFFECTIVENESS,"""Taking the right steps can lead to bright ideas and meaningful conversations."""
effective step,💯💯💯✨,"[':hundred_points:', ':hundred_points:', ':hundred_points:', ':sparkles:']",Metaphorical,EFFECTIVENESS,"""Taking this effective step will ensure you achieve your goals with excellence!"""
effective step,👍🚶,"[':thumbs_up:', ':person_walking:']",Direct,EFFECTIVENESS,"""Taking a positive step forward."""
effective step,💨🪜,"[':dashing_away:', ':ladder:']",Metaphorical,EFFECTIVENESS,"""Taking swift and effective steps can lead to great progress."""
effective step,👍👣,"[':thumbs_up:', ':footprints:']",Direct,EFFECTIVENESS,"""Taking an effective step forward."""
effective reprimand,👍🤬,"[':thumbs_up:', ':face_with_symbols_on_mouth:']",Direct,EFFICACY,"""While I appreciate your efforts, I need to express my strong disapproval about this situation."""
effective reprimand,😤🗣️💬,"[':face_with_steam_from_nose:', ':speaking_head:', ':speech_balloon:']",Metaphorical,EFFICACY,"""Express your concerns clearly and firmly to ensure the message is understood."""
effective reprimand,🗣️🧏‍♀️👍,"[':speaking_head:', ':deaf_woman:', ':thumbs_up:']",Direct,EFFICACY,"""She gave an effective reprimand that was clearly understood and appreciated."""
effective reprimand,👍😠😡😤,"[':thumbs_up:', ':angry_face:', ':pouting_face:', ':face_with_steam_from_nose:']",Direct,EFFICACY,"""Although I appreciate your efforts, I am frustrated and angry about the mistakes that need to be addressed."""
effective reprimand,😤😤😔😔😔😥,"[':face_with_steam_from_nose:', ':face_with_steam_from_nose:', ':pensive_face:', ':pensive_face:', ':pensive_face:', ':sad_but_relieved_face:']",Metaphorical,EFFICACY,"""Feeling frustrated and disappointed after realizing the need for a serious discussion about performance issues."""
effective reprimand,😡👍,"[':pouting_face:', ':thumbs_up:']",Direct,EFFICACY,"""An effective reprimand can be delivered even when emotions run high."""
effective reprimand,💨🤬,"[':dashing_away:', ':face_with_symbols_on_mouth:']",Metaphorical,EFFICACY,"""With a furious wind, I expressed my frustration clearly and effectively."""
